milestone_id,project_id,name,type,planned_start_p50,planned_start_p90,planned_end_p50,planned_end_p90,duration_days_p50,duration_days_p90,gating_flag,external_dependency,notes,_name_lower,_end,_start,_dt_pref,owner_id,owner_name,progress_pct,status,last_update_utc,_phase_order,_dur_days,filled_start,filled_end,capacity_effect,capacity_delta_mw_override
MCI-NGC5_MS7,MCI-NGC5,Site remediation complete,Execution,12/16/2028,1/25/2029,1/5/2029,3/6/2029,20,60,FALSE,,Soil/groundwater remediation activities to regulatory targets.,site remediation complete,,,11/9/2026,,,,,,6,,,,none,
MCI-NGC5_MS8,MCI-NGC5,Closure / turnover,Closeout,4/15/2029,5/25/2029,5/5/2029,7/4/2029,20,60,TRUE,,Final inspections and turnover to site operations/owner.,closure / turnover,,,1/1/2027,,,,,,6,,,,none,
MCI-NGCC-10-11-7FA05_MS1,MCI-NGCC-10-11-7FA05,Project kickoff,Gate,1/1/2029,2/10/2029,1/31/2029,4/11/2029,30,70,TRUE,,Project control point aligned to modernization scope.,project kickoff,,,1/1/2029,,,,,,0,,,,none,
MCI-NGCC-10-11-7FA05_MS2,MCI-NGCC-10-11-7FA05,30% design complete,Design,5/21/2029,6/30/2029,5/6/2030,5/31/2031,350,390,FALSE,,Design progress gate; verify discipline packages and freeze IFC set.,30% design complete,,,2/9/2029,,,,,,1,,,,none,
MCI-NGCC-10-11-7FA05_MS3,MCI-NGCC-10-11-7FA05,Long-lead POs placed,Procurement,7/10/2031,8/19/2031,7/30/2031,9/28/2031,20,60,FALSE,,"Issue POs for long-lead items (turbine parts, DCS hardware, major valves).",long-lead pos placed,,,3/20/2029,,,,,,2,,,,none,
MCI-NGCC-10-11-7FA05_MS4,MCI-NGCC-10-11-7FA05,90% design / IFC,Design,11/7/2031,12/17/2031,3/26/2032,9/22/2032,140,180,TRUE,,Design progress gate; verify discipline packages and freeze IFC set.,90% design / ifc,,,4/28/2029,,,,,,1,,,,none,
MCI-NGCC-10-11-7FA05_MS5,MCI-NGCC-10-11-7FA05,Outage start / mobilization,Execution,7/29/2032,9/7/2032,8/28/2032,11/6/2032,30,70,FALSE,,"Begin outage window; lock LOTO, mobilize contractors, stage materials. UPDATED: Sequenced before HY-BARTLETT56-MOD outage for regional reliability",outage start / mobilization,,,4/20/2032,,,,,,6,,,,modernize,-194
MCI-NGCC-10-11-7FA05_MS6,MCI-NGCC-10-11-7FA05,Mechanical complete,Execution,12/16/2032,1/25/2033,1/5/2033,3/6/2033,20,60,FALSE,,All mechanical scopes installed; start pre-commissioning checklists.,mechanical complete,,,10/26/2032,,,,,,6,,,,modernize,194
MCI-NGCC-10-11-7FA05_MS7,MCI-NGCC-10-11-7FA05,Commissioning complete,Commissioning,4/15/2033,5/25/2033,6/24/2033,10/12/2033,70,110,FALSE,,"I&C loop checks, startups, performance tests; punchlist burn-down. UPDATED: Gated by ppa_dahlberg commissioning + 60 day lag",commissioning complete,,,2/14/2033,,,,,,5,,,,modernize,200
MCI-NGCC-10-11-7FA05_MS8,MCI-NGCC-10-11-7FA05,Return to service,Closeout,11/21/2033,1/10/2034,12/11/2033,2/9/2034,20,60,TRUE,,Unit synchronized; performance KPIs stable; closeout docs started.,return to service,,,9/22/2033,,,,,,6,,,,modernize,0
NU-UP-retire_MS1,NU-UP-retire,Retirement plan approved,Gate,6/14/2031,8/3/2031,7/14/2031,10/12/2031,20,60,TRUE,,"Stakeholder sign-off, regulatory notifications initiated. UPDATED: Delayed to after NU-UP-VOG2 return to service",retirement plan approved,,,6/14/2031,,,,,,6,,,,retire,-900
NU-UP-retire_MS2,NU-UP-retire,Fuel isolation & purge complete,Execution,12/1/2031,1/20/2032,1/20/2032,4/19/2032,50,90,FALSE,,"Fuel systems isolated, lines purged; environmental controls in place.",fuel isolation & purge complete,,,9/1/2031,,,,,,4,,,,retire,-1350
NU-UP-retire_MS3,NU-UP-retire,Decommissioning start,Execution,5/29/2032,7/18/2032,6/28/2032,9/26/2032,30,70,FALSE,,"Begin de-energization, draining, and asset safing activities. UPDATED: Gated by NU-UP-VOG2 RTS (3/16/2031) + 120 day lag",decommissioning start,,,3/16/2032,,,,,,5,,,,retire,-1350
NU-UP-retire_MS4,NU-UP-retire,Hazmat/ash handling secured,Execution,11/5/2032,12/25/2032,1/14/2033,4/14/2033,70,110,FALSE,,Secure and process ash/hazmat per procedures; waste handling plans.,hazmat/ash handling secured,,,8/16/2032,,,,,,6,,,,retire,-450
NU-UP-retire_MS5,NU-UP-retire,Equipment de-energized & cleared,Execution,5/24/2033,7/13/2033,10/1/2033,2/28/2034,100,140,FALSE,,All equipment verified de-energized; LOTO and clearances documented.,equipment de-energized & cleared,,,3/14/2033,,,,,,5,,,,none,
NU-UP-retire_MS6,NU-UP-retire,Demolition start,Execution,4/9/2034,5/29/2034,5/9/2034,8/7/2034,30,70,FALSE,,Demolition contractor mobilized; structural works commence.,demolition start,,,11/19/2033,,,,,,6,,,,retire,-450
NU-UP-retire_MS7,NU-UP-retire,Site remediation complete,Execution,9/16/2034,11/5/2034,10/6/2034,1/4/2035,20,60,FALSE,,Soil/groundwater remediation activities to regulatory targets.,site remediation complete,,,6/18/2034,,,,,,6,,,,none,
NU-UP-retire_MS8,NU-UP-retire,Closure / turnover,Closeout,2/23/2035,4/14/2035,3/25/2035,6/23/2035,20,60,TRUE,,Final inspections and turnover to site operations/owner.,closure / turnover,,,11/4/2034,,6/14/2031,8/23/2035,,,6,,,,none,
NU-UP-VOG1_MS1,NU-UP-VOG1,Project kickoff,Gate,1/1/2025,2/10/2025,1/31/2025,4/11/2025,30,70,TRUE,,Project control point aligned to modernization scope.,project kickoff,,,1/1/2000,,,,,,0,,,,none,
NU-UP-VOG1_MS2,NU-UP-VOG1,30% design complete,Design,5/21/2025,6/30/2025,5/6/2026,5/31/2027,350,390,FALSE,,Design progress gate; verify discipline packages and freeze IFC set.,30% design complete,,,7/27/2004,,,,,,1,,,,none,
NU-UP-VOG1_MS3,NU-UP-VOG1,Long-lead POs placed,Procurement,7/10/2027,8/19/2027,7/30/2027,9/28/2027,20,60,FALSE,,"Issue POs for long-lead items (turbine parts, DCS hardware, major valves).",long-lead pos placed,,,2/21/2009,,,,,,2,,,,none,
NU-UP-VOG1_MS4,NU-UP-VOG1,90% design / IFC,Design,11/7/2027,12/17/2027,3/26/2028,9/22/2028,140,180,TRUE,,Design progress gate; verify discipline packages and freeze IFC set.,90% design / ifc,,,9/17/2013,,,,,,1,,,,none,
NU-UP-VOG1_MS5,NU-UP-VOG1,Outage start / mobilization,Execution,11/1/2028,12/11/2028,12/1/2028,2/9/2029,30,70,FALSE,,"Begin outage window; lock LOTO, mobilize contractors, stage materials.",outage start / mobilization,,,4/14/2018,,,,,,6,,,,modernize,-500
NU-UP-VOG1_MS6,NU-UP-VOG1,Mechanical complete,Execution,3/21/2029,4/30/2029,4/10/2029,6/9/2029,20,60,FALSE,,All mechanical scopes installed; start pre-commissioning checklists.,mechanical complete,,,11/8/2022,,,,,,6,,,,modernize,500
NU-UP-VOG1_MS7,NU-UP-VOG1,Commissioning complete,Commissioning,7/19/2029,8/28/2029,9/27/2029,1/15/2030,70,110,FALSE,,"I&C loop checks, startups, performance tests; punchlist burn-down.",commissioning complete,,,6/5/2027,,,,,,5,,,,modernize,500
NU-UP-VOG1_MS8,NU-UP-VOG1,Return to service,Closeout,2/24/2030,4/5/2030,3/16/2030,5/15/2030,20,60,TRUE,,Unit synchronized; performance KPIs stable; closeout docs started.,return to service,,,12/31/2031,,,,,,6,,,,modernize,500
NU-UP-VOG2_MS1,NU-UP-VOG2,Project kickoff,Gate,1/1/2026,2/10/2026,1/31/2026,4/11/2026,30,70,TRUE,,Project control point aligned to modernization scope.,project kickoff,,,1/1/2000,,,,,,0,,,,none,
NU-UP-VOG2_MS2,NU-UP-VOG2,30% design complete,Design,5/21/2026,6/30/2026,5/6/2027,5/30/2028,350,390,FALSE,,Design progress gate; verify discipline packages and freeze IFC set.,30% design complete,,,4/14/2004,,,,,,1,,,,none,
NU-UP-VOG2_MS3,NU-UP-VOG2,Long-lead POs placed,Procurement,7/9/2028,8/18/2028,7/29/2028,9/27/2028,20,60,FALSE,,"Issue POs for long-lead items (turbine parts, DCS hardware, major valves).",long-lead pos placed,,,7/27/2008,,,,,,2,,,,none,
NU-UP-VOG2_MS4,NU-UP-VOG2,90% design / IFC,Design,11/6/2028,12/16/2028,3/26/2029,9/22/2029,140,180,TRUE,,Design progress gate; verify discipline packages and freeze IFC set.,90% design / ifc,,,11/8/2012,,,,,,1,,,,none,
NU-UP-VOG2_MS5,NU-UP-VOG2,Outage start / mobilization,Execution,11/1/2029,12/11/2029,12/1/2029,2/9/2030,30,70,FALSE,,"Begin outage window; lock LOTO, mobilize contractors, stage materials.",outage start / mobilization,,,2/21/2017,,,,,,6,,,,modernize,-800
NU-UP-VOG2_MS6,NU-UP-VOG2,Mechanical complete,Execution,3/21/2030,4/30/2030,4/10/2030,6/9/2030,20,60,FALSE,,All mechanical scopes installed; start pre-commissioning checklists.,mechanical complete,,,6/5/2021,,,,,,6,,,,modernize,800
NU-UP-VOG2_MS7,NU-UP-VOG2,Commissioning complete,Commissioning,7/19/2030,8/28/2030,9/27/2030,1/15/2031,70,110,FALSE,,"I&C loop checks, startups, performance tests; punchlist burn-down.",commissioning complete,,,9/17/2025,,,,,,5,,,,modernize,250
NU-UP-VOG2_MS8,NU-UP-VOG2,Return to service,Closeout,2/24/2031,4/5/2031,3/16/2031,5/15/2031,20,60,TRUE,,Unit synchronized; performance KPIs stable; closeout docs started.,return to service,,,12/31/2029,,,,,,6,,,,modernize,250
MS_ppa_dahlberg_1_3_5_engineering,ppa_dahlberg_1_3_5,Engineering,engineering,6/1/2025,7/11/2025,11/28/2025,7/6/2026,180,220,FALSE,,gas / SERC,engineering,,,11/28/2025,,,,,,1,,,,none,
MS_ppa_dahlberg_1_3_5_procurement,ppa_dahlberg_1_3_5,Procurement,procurement,8/15/2026,9/24/2026,4/12/2027,1/17/2028,240,280,FALSE,,gas / SERC,procurement,,,7/26/2026,,,,,,2,,,,modernize,-500
MS_ppa_dahlberg_1_3_5_construction,ppa_dahlberg_1_3_5,Construction,construction,2/26/2028,4/6/2028,5/21/2029,9/23/2030,450,490,FALSE,,gas / SERC,construction,,,10/19/2027,,,,,,3,,,,modernize,500
MS_ppa_dahlberg_1_3_5_interconnection,ppa_dahlberg_1_3_5,Interconnection,interconnection,5/15/2031,6/24/2031,11/7/2032,2/5/2033,540,580,TRUE,ISO queue,gas / SERC. UPDATED: Accelerated to enable early commissioning,interconnection,,,2/24/2032,,,,,,4,,,,modernize,250
MS_ppa_dahlberg_1_3_5_commissioning,ppa_dahlberg_1_3_5,Commissioning,commissioning,11/21/2032,12/31/2032,2/13/2033,5/14/2033,45,85,TRUE,,"gas / SERC. UPDATED: Accelerated by ~1 year to finish by mid-Feb 2033, enabling MCI-NGCC commissioning start (4/15/2033) with 60-day lag",commissioning,,,5/16/2032,,,,,,5,,,,modernize,400
MS_proj_009_engineering,proj_009,Engineering,engineering,12/31/2028,2/19/2029,8/28/2029,11/26/2029,240,280,FALSE,,coal / ERCOT,engineering,,,8/28/2029,,,,,,1,,,,none,
MS_proj_009_procurement,proj_009,Procurement,procurement,1/5/2030,2/24/2030,12/31/2030,3/31/2031,360,400,FALSE,,coal / ERCOT,procurement,,,8/23/2030,,,,,,2,,,,none,
MS_proj_009_construction,proj_009,Construction,construction,5/10/2031,6/29/2031,4/29/2033,7/28/2033,720,760,FALSE,,coal / ERCOT,construction,,,8/12/2032,,,,,,3,,,,none,
MS_proj_009_interconnection,proj_009,Interconnection,interconnection,9/6/2033,10/26/2033,2/28/2035,5/29/2035,540,580,TRUE,ISO queue,coal / ERCOT,interconnection,,,2/3/2034,,,,,,4,,,,build,120
MS_proj_009_commissioning,proj_009,Commissioning,commissioning,7/8/2035,8/27/2035,9/6/2035,12/5/2035,60,100,TRUE,,coal / ERCOT,commissioning,,,4/4/2034,,,,,,5,,,,build,280
MS_proj_011_retirement_plan_approved,proj_011,Retirement plan approved,gate,9/24/2025,9/24/2025,10/14/2025,11/23/2025,20,60,TRUE,,"Stakeholder sign-off, regulatory notifications initiated.",retirement plan approved,,,10/14/2025,,,,,,6,,,,retire,-40
MS_proj_011_fuel_isolation_&_purge_complete,proj_011,Fuel isolation & purge complete,execution,10/14/2025,10/14/2025,12/3/2025,1/12/2026,50,90,FALSE,,"Fuel systems isolated, lines purged; environmental controls in place.",fuel isolation & purge complete,,,12/3/2025,,,,,,4,,,,retire,-60
MS_proj_011_decommissioning_start,proj_011,Decommissioning start,execution,12/3/2025,12/3/2025,1/2/2026,2/11/2026,30,70,FALSE,,"Begin de-energization, draining, and asset safing activities.",decommissioning start,,,1/2/2026,,,,,,5,,,,retire,-60
MS_proj_011_hazmat_ash_handling_secured,proj_011,Hazmat/ash handling secured,execution,1/2/2026,1/2/2026,3/13/2026,4/22/2026,70,110,FALSE,,Secure and process ash/hazmat per procedures; waste handling plans.,hazmat/ash handling secured,,,3/13/2026,,,,,,6,,,,retire,-20
MS_proj_011_equipment_de-energized_&_cleared,proj_011,Equipment de-energized & cleared,execution,3/13/2026,3/13/2026,6/21/2026,7/31/2026,100,140,FALSE,,All equipment verified de-energized; LOTO and clearances documented.,equipment de-energized & cleared,,,6/21/2026,,,,,,5,,,,none,
MS_proj_011_demolition_start,proj_011,Demolition start,execution,6/21/2026,6/21/2026,7/21/2026,8/30/2026,30,70,FALSE,,Demolition contractor mobilized; structural works commence.,demolition start,,,7/21/2026,,,,,,6,,,,retire,-20
MS_proj_011_site_remediation_complete,proj_011,Site remediation complete,execution,7/21/2026,7/21/2026,8/10/2026,9/19/2026,20,60,FALSE,,Soil/groundwater remediation activities to regulatory targets.,site remediation complete,,,8/10/2026,,,,,,6,,,,none,
MS_proj_011_closure___turnover,proj_011,Closure / turnover,closeout,8/10/2026,8/10/2026,8/30/2026,10/9/2026,20,60,TRUE,,Final inspections and turnover to site operations/owner.,closure / turnover,,,8/30/2026,,,,,,6,,,,none,
MS_proj_017_engineering,proj_017,Engineering,engineering,1/1/2028,1/1/2028,6/29/2028,8/8/2028,180,220,FALSE,,Generated for wind new build,engineering,,,6/29/2028,,,,,,1,,,,none,
MS_proj_017_procurement,proj_017,Procurement,procurement,6/29/2028,6/29/2028,2/24/2029,4/5/2029,240,280,FALSE,,Generated for wind new build,procurement,,,2/24/2029,,,,,,2,,,,none,
MS_proj_017_construction,proj_017,Construction,construction,2/24/2029,2/24/2029,2/19/2030,3/31/2030,360,400,FALSE,,Generated for wind new build,construction,,,2/19/2030,,,,,,3,,,,none,
MS_proj_017_interconnection,proj_017,Interconnection,interconnection,2/19/2030,2/19/2030,8/13/2031,9/22/2031,540,580,TRUE,ISO queue,Generated for wind new build,interconnection,,,8/13/2031,,,,,,4,,,,build,200
MS_proj_017_commissioning,proj_017,Commissioning,commissioning,8/13/2031,8/13/2031,1/5/2031,2/14/2031,45,85,TRUE,,Generated for wind new build,commissioning,,,1/5/2031,,,,,,5,,,,build,400
MS_proj_019_project_kickoff,proj_019,Project kickoff,gate,4/19/2025,4/19/2025,5/19/2025,6/28/2025,30,70,TRUE,,Project control point aligned to modernization scope.,project kickoff,,,5/19/2025,,,,,,0,,,,none,
MS_proj_019_30%_design_complete,proj_019,30% design complete,design,5/19/2025,5/19/2025,5/4/2026,6/13/2026,350,390,FALSE,,Design progress gate; verify discipline packages and freeze IFC set.,30% design complete,,,5/4/2026,,,,,,1,,,,none,
MS_proj_019_long-lead_pos_placed,proj_019,Long-lead POs placed,procurement,5/4/2026,5/4/2026,1/9/2027,2/18/2027,250,290,FALSE,,"Issue POs for long-lead items (turbine parts, DCS hardware, major valves).",long-lead pos placed,,,1/9/2027,,,,,,2,,,,none,
MS_proj_019_90%_design___ifc,proj_019,90% design / IFC,design,1/9/2027,1/9/2027,5/29/2027,7/8/2027,140,180,TRUE,,Design progress gate; verify discipline packages and freeze IFC set.,90% design / ifc,,,5/29/2027,,,,,,1,,,,none,
MS_proj_019_outage_start___mobilization,proj_019,Outage start / mobilization,execution,5/29/2027,5/29/2027,6/28/2027,8/7/2027,30,70,FALSE,,"Begin outage window; lock LOTO, mobilize contractors, stage materials.",outage start / mobilization,,,6/28/2027,,,,,,6,,,,retire,
MS_proj_019_mechanical_complete,proj_019,Mechanical complete,execution,6/28/2027,6/28/2027,7/18/2027,8/27/2027,20,60,FALSE,,All mechanical scopes installed; start pre-commissioning checklists.,mechanical complete,,,7/18/2027,,,,,,6,,,,none,
MS_proj_019_commissioning_complete,proj_019,Commissioning complete,commissioning,7/18/2027,7/18/2027,9/26/2027,11/5/2027,70,110,FALSE,,"I&C loop checks, startups, performance tests; punchlist burn-down.",commissioning complete,,,9/26/2027,,,,,,5,,,,build,50
MS_proj_019_return_to_service,proj_019,Return to service,closeout,9/26/2027,9/26/2027,10/16/2027,11/25/2027,20,60,TRUE,,Unit synchronized; performance KPIs stable; closeout docs started.,return to service,,,10/16/2027,,,,,,6,,,,build,50
MS_proj_020_engineering,proj_020,Engineering,engineering,12/31/2026,2/9/2027,4/30/2027,10/27/2027,120,180,FALSE,,solar / WECC,engineering,,,4/30/2027,,,,,,1,,,,none,
MS_proj_020_procurement,proj_020,Procurement,procurement,6/9/2027,7/19/2027,12/6/2027,9/1/2028,180,270,FALSE,,solar / WECC,procurement,,,10/27/2027,,,,,,2,,,,none,
MS_proj_020_construction,proj_020,Construction,construction,1/15/2028,2/24/2028,9/11/2028,9/6/2029,240,360,FALSE,,solar / WECC,construction,,,6/23/2028,,,,,,3,,,,none,
MS_proj_020_interconnection,proj_020,Interconnection,interconnection,2/24/2032,4/4/2032,8/18/2033,1/24/2035,540,900,TRUE,ISO queue. UPDATED: Gated by proj_021 commissioning (2/3/2032 + 21 day lag),solar / WECC,interconnection,,,4/29/2033,,,,,,4,,,,build,30
MS_proj_020_commissioning,proj_020,Commissioning,commissioning,2/3/2035,3/15/2035,3/5/2035,6/3/2035,30,70,TRUE,,solar / WECC,commissioning,,,10/14/2034,,,,,,5,,,,build,70
MS_proj_021_engineering,proj_021,Engineering,engineering,12/31/2027,2/9/2028,5/29/2028,10/6/2028,150,240,FALSE,,other / ISO-NE,engineering,,,5/29/2028,,,,,,1,,,,none,
MS_proj_021_procurement,proj_021,Procurement,procurement,7/8/2028,8/17/2028,3/5/2029,8/12/2029,240,360,FALSE,,other / ISO-NE,procurement,,,1/24/2029,,,,,,2,,,,none,
MS_proj_021_construction,proj_021,Construction,construction,4/14/2029,5/24/2029,4/9/2030,11/15/2030,360,540,FALSE,,other / ISO-NE,construction,,,1/19/2030,,,,,,3,,,,none,
MS_proj_021_interconnection,proj_021,Interconnection,interconnection,5/19/2030,6/28/2030,11/10/2031,12/14/2032,540,900,TRUE,ISO queue,other / ISO-NE,interconnection,,,7/13/2031,,,,,,4,,,,build,240
MS_proj_021_commissioning,proj_021,Commissioning,commissioning,12/20/2031,1/29/2032,2/3/2032,4/28/2032,45,90,TRUE,,other / ISO-NE,commissioning,,,8/27/2031,,,,,,5,,,,build,560
